created_at,entry_id,field1
2021-07-22 12:57:01 UTC,1,0
2021-07-22 12:57:18 UTC,2,80
2021-07-22 12:57:34 UTC,3,160
2021-07-22 12:57:50 UTC,4,240
2021-07-22 12:58:07 UTC,5,320
2021-07-22 12:58:32 UTC,6,0
2021-07-22 12:58:48 UTC,7,80
2021-07-22 12:59:05 UTC,8,160
2021-07-22 12:59:21 UTC,9,
2021-07-22 13:00:04 UTC,10,0
2021-07-22 13:00:20 UTC,11,80
2021-07-22 13:00:36 UTC,12,160
2021-07-22 13:00:52 UTC,13,
2021-07-22 13:01:08 UTC,14,
2021-07-22 13:01:23 UTC,15,0
2021-07-22 13:01:39 UTC,16,80
2021-07-22 13:01:57 UTC,17,120
2021-07-22 13:02:13 UTC,18,
2021-07-22 13:02:29 UTC,19,
2021-07-22 13:02:45 UTC,20,
2021-07-22 13:03:01 UTC,21,40
2021-07-22 13:03:17 UTC,22,120
2021-07-22 13:03:32 UTC,23,
